author_name,degree,eigenvector,betweenness,closeness
"Marending, Florian",0.0004,0.0,0.0,0.0024
"Solomonik, Edgar",0.0012,0.0,0.0,0.0029
"Hoefler, Torsten",0.0035,0.0,0.0001,0.0033
"Tang, Dixin",0.0003,0.0,0.0,0.0286
"Jiang, Hao",0.0003,0.0,0.0,0.0286
"Elmore, Aaron J.",0.0012,0.0,0.0044,0.0309
"Mazumdar, Amrita",0.0009,0.0,0.0,0.0453
"Moreau, Thierry",0.0009,0.0,0.0,0.0453
"Kim, Sung",0.0009,0.0,0.0,0.0453
"Cowan, Meghan",0.0009,0.0,0.0,0.0453
"Alaghi, Armin",0.0013,0.0,0.0,0.0453
"Ceze, Luis",0.0028,0.0,0.0062,0.0485
"Oskin, Mark",0.002,0.0,0.0042,0.0479
"Sathe, Visvesh",0.0009,0.0,0.0,0.0453
"Joshi, Arpit",0.0004,0.0,0.0,0.0302
"Viglas, Stratis",0.0004,0.0,0.0,0.0302
"Cintra, Marcelo",0.0004,0.0,0.0,0.0302
"Byma, Stuart",0.0008,0.0,0.0,0.0335
"Whitlock, Sam",0.0008,0.0,0.0,0.0335
"Flueratoru, Laura",0.0008,0.0,0.0,0.0335
"Tseng, Ethan",0.0008,0.0,0.0,0.0335
"Kozyrakis, Christoforos E.",0.0025,0.0,0.0021,0.0366
"Bugnion, Edouard",0.0011,0.0,0.0002,0.0335
"Larus, James R.",0.0011,0.0,0.0005,0.0335
"Azad, Ariful",0.0004,0.0,0.0,0.0023
"Jain, Bhushan",0.0003,0.0,0.0,0.0398
"Tsai, Chia-Che",0.0004,0.0,0.0,0.0398
"Porter, Donald E.",0.0027,0.0,0.0022,0.0442
"Wolfe, Noah",0.0016,0.0,0.0001,0.0393
"Mubarak, Misbah",0.0019,0.0,0.0002,0.0393
"Jain, Nikhil",0.0028,0.0,0.0001,0.0393
"Domke, Jens",0.0008,0.0,0.0,0.038
"Bhatele, Abhinav",0.0035,0.0,0.0017,0.0421
"Carothers, Christopher D.",0.0011,0.0,0.0,0.0381
"Ross, Robert B.",0.0019,0.0,0.0007,0.0381
"Shen, Fumin",0.0008,0.0,0.0,0.04
"Mu, Yadong",0.0008,0.0,0.0,0.04
"Yang, Yang",0.0017,0.0,0.0026,0.0445
"Liu, Wei",0.0015,0.0,0.002,0.04
"Liu, Li",0.0008,0.0,0.0,0.04
"Song, Jingkuan",0.0008,0.0,0.0,0.04
"Shen, Heng Tao",0.0008,0.0,0.0,0.04
"Ma, Yunfei",0.0003,0.0,0.0,0.0003
"Selby, Nicholas",0.0003,0.0,0.0,0.0003
"Adib, Fadel",0.0003,0.0,0.0,0.0003
"Zhou, Tingzhe",0.0005,0.0,0.0,0.0005
"Zardoshti, Pantea",0.0003,0.0,0.0,0.0004
"Spear, Michael F.",0.0005,0.0,0.0,0.0005
"Fuller, Benjamin",0.0011,0.0,0.0,0.0016
"Varia, Mayank",0.0011,0.0,0.0,0.0016
"Yerukhimovich, Arkady",0.0011,0.0,0.0,0.0016
"Shen, Emily",0.0011,0.0,0.0,0.0016
"Hamlin, Ariel",0.0011,0.0,0.0,0.0016
"Gadepally, Vijay",0.0016,0.0,0.0,0.0019
"Shay, Richard",0.0011,0.0,0.0,0.0016
