author_name,degree,eigenvector,betweenness,closeness,npubs,hindex,hindex5y,i10index,i10index5y,citedby,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author
"Chuo, Li-Xuan",0.0011,0.0,0.0,0.089,6,3,3,0,0,17,0,0,0,0,0,1
"Liu, Jialin",0.0023,0.0,9.0,0.0934,23,8,8,5,5,116,0,0,0,0,0,2
"Livshits, Ester",0.0003,0.0,0.0,0.085,,,,,,,0,0,0,0,0,1
"Wang, Weiren",0.002,0.0,0.0,0.0659,,,,,,,0,0,0,0,0,1
"Bakshi, Ainesh",0.0028,0.0,0.0,0.1017,,,,,,,0,0,0,0,0,1
"Sen, Siddhartha",0.0026,0.0,21584.3944,0.1291,42,11,9,12,9,384,0,1,0,0,0,3
"Zheng, Fang",0.0014,0.0,0.0,0.1057,34,13,11,15,12,1005,0,0,0,0,0,1
"Kumaran, Kalyan",0.0017,0.0017,0.0,0.0872,34,11,10,11,10,430,0,0,0,0,0,1
"Meyer, Folker",0.0026,0.0,0.0,0.0696,181,53,40,97,88,18611,0,0,0,0,0,1
"Ma, Lin",0.0048,0.0001,0.0,0.12,7,5,5,4,4,87,0,0,0,0,0,1
"Prasad, Abhinandan S.",0.0014,0.0,0.0,0.0963,,,,,,,,,,,,
"Nümberger, Stefan",0.0014,0.0,0.0,0.062,,,,,,,,,,,,
"Wang, Wenhao",0.0026,0.0,7014.0,0.0918,,,,,,,,,,,,
"Hilton, Marcia",0.0026,0.0,0.0,0.0924,,,,,,,0,0,0,0,0,1
"Nagarajan, Vijay",0.0023,0.0,17526.0,0.0913,47,13,12,16,12,596,0,1,1,0,0,3
"Jevdjic, Djordje",0.0014,0.0,83640.0,0.1252,18,9,9,8,8,797,0,1,0,0,0,2
