author_id,author_name,author_email
2374854,"('Shen, Emily', '')"
2984519,"('Hamlin, Ariel', '@ll.mit.edu')"
1867298,"('Gadepally, Vijay', '')"
1783649,"('Shay, Richard', '@richshay.com')"
2377837,"('Mitchell, John Darby', '')"
1939551,"('Cunningham, Robert K.', '@cunninghamfamily.name')"
3243432,"('Bittau, Andrea', '@cs.stanford.edu')"
1758110,"('Erlingsson, Úlfar', '@google.com')"
1761190,"('Mironov, Ilya', '@google.com')"
1806005,"('Raghunathan, Ananth', '@cs.stanford.edu')"
2830166,"('Rudominer, Mitch', '')"
35798085,"('Kode, Ushasree', '')"
11435780,"('Seefeld, Bernhard', '')"
2522763,"('Albericio, Jorge', '@ece.toronto.edu')"
39885275,"('Delmas, Alberto', '')"
39891957,"('Judd, Patrick', '')"
15384887,"('Sharify, Sayeh', '')"
37606908,"(""O'Leary, Gerard"", '@mail.utoronto.ca')"
2655550,"('Genov, Roman', '@eecg.utoronto.ca')"
1782536,"('Moshovos, Andreas', '@eecg.toronto.edu')"
1800764,"('Zheng, Yan', '@cs.utah.edu')"
2056741,"('Lee, Doowon', '@umich.edu')"
1683260,"('Bertacco, Valeria', '@umich.edu')"
39433682,"('Nguyen, Hung T.', '@mymail.vcu.edu')"
9398355,"('Nguyen, Tri P.', '@mymail.vcu.edu')"
1745290,"('Dinh, Thang N.', '@vcu.edu')"
2172728,"('Valenta, Luke', '@seas.upenn.edu')"
2406885,"('Adrian, David', '@umich.edu')"
34880513,"('Sanso, Antonio', '@adobe.com')"
39974279,"('Cohney, Shaanan', '@seas.upenn.edu')"
2188415,"('Fried, Joshua', '@cis.upenn.edu')"
36420322,"('Hastings, Marcella', '@cis.upenn.edu')"
2349976,"('Halderman, J. Alex', '@eecs.umich.edu')"
2842650,"('Heninger, Nadia', '@cis.upenn.edu')"
1722767,"('Wang, Peng', '@indiana.edu')"
1726699,"('Wang, Di', '@microsoft.com')"
1762600,"('Chlipala, Adam', '@csail.mit.edu')"
2218875,"('Guo, Jian', '')"
1812563,"('Liu, Fangming', '@mail.hust.edu.cn')"
1685072,"('Wang, Tao', '')"
1723366,"('Lui, John C. S.', '@cse.cuhk.edu.hk')"
3409732,"('Eizenberg, Ariel', '')"
3199368,"('Peng, Yuanfeng', '@cis.upenn.edu')"
17785358,"('Pigli, Toma', '')"
2686490,"('Mansky, William', '@cs.princeton.edu')"
2615278,"('Katsogridakis, Pavlos', '')"
2740159,"('Papagiannaki, Sofia', '')"
2385564,"('Pratikakis, Polyvios', '@ics.forth.gr')"
38568238,"('Gaur, Jayesh', '')"
6226754,"('Chaudhuri, Mainak', '')"
2256065,"('Ramachandran, Pradeep', '')"
1706165,"('Subramoney, Sreenivas', '')"
2993481,"('Sundaresan, Srikanth', '@gatech.edu')"
1771164,"('Allman, Mark', '@icir.org')"
1718655,"('Dhamdhere, Amogh', '@caida.org')"
34710867,"('Liu, Lun', '')"
1702346,"('Musuvathi, Madan', '@microsoft.com')"
24624948,"('Stylianopoulos, Charalampos', '')"
2088512,"('Almgren, Magnus', '@chalmers.se')"
2626539,"('Landsiedel, Olaf', '@chalmers.se')"
1752071,"('Papatriantafilou, Marina', '@chalmers.se')"
1920997,"('Vijaykumar, Nandita', '@cmu.edu')"
33801185,"('Ghose, Saugata', '@cmu.edu')"
3257164,"('Pekhimenko, Gennady', '@cs.toronto.edu')"
1741511,"('Ergin, Oguz', '@etu.edu.tr')"
1727449,"('Nguyen, Vu', '@deakin.edu.au')"
8409193,"('Gupta, Sunil', '@deakin.edu.au')"
2867032,"('Rana, Santu', '@deakin.edu.au')"
1679520,"('Venkatesh, Svetha', '@deakin.edu.au')"
34608926,"('Chandrashekhara, Sharath', '@buffalo.edu')"
3102980,"('Ki, Taeyeon', '@buffalo.edu')"
2654406,"('Jeon, Kyungho', '@buffalo.edu')"
3119495,"('Dantu, Karthik', '@buffalo.edu')"
1691861,"('Ko, Steven Y.', '@buffalo.edu')"
2219393,"('Lian, Wilson', '@cs.ucsd.edu')"
1786752,"('Shacham, Hovav', '@cs.ucsd.edu')"
1727599,"('Savage, Stefan', '@cs.ucsd.edu')"
